date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:31:17	60625/60625	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/admin-section/	quidely_landing/quidely_landing/127.0.0.1_8000/admin-section/index.html	(from http://127.0.0.1:8000/)
09:31:19	4500/4500	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Dec%202015%2010:02:10%20GMT	http://127.0.0.1:8000/static/img/thumb_restaurant_3.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/thumb_restaurant_3.jpg	(from http://127.0.0.1:8000/)
09:31:19	24055/24055	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/submit_driver/	quidely_landing/quidely_landing/127.0.0.1_8000/submit_driver/index.html	(from http://127.0.0.1:8000/)
09:31:19	42353/42353	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/restaurant_infos/	quidely_landing/quidely_landing/127.0.0.1_8000/restaurant_infos/index.html	(from http://127.0.0.1:8000/)
09:31:19	23383/23383	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/blog/	quidely_landing/quidely_landing/127.0.0.1_8000/blog/index.html	(from http://127.0.0.1:8000/)
09:31:21	4500/4500	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Dec%202015%2010:02:18%20GMT	http://127.0.0.1:8000/static/img/thumb_restaurant_4.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/thumb_restaurant_4.jpg	(from http://127.0.0.1:8000/)
09:31:21	24498/24498	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/blog_post/	quidely_landing/quidely_landing/127.0.0.1_8000/blog_post/index.html	(from http://127.0.0.1:8000/)
09:31:21	16556/16556	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/contacts/	quidely_landing/quidely_landing/127.0.0.1_8000/contacts/index.html	(from http://127.0.0.1:8000/)
09:31:21	5071/5071	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/coming_soon/	quidely_landing/quidely_landing/127.0.0.1_8000/coming_soon/index.html	(from http://127.0.0.1:8000/)
09:31:23	4500/4500	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Dec%202015%2010:02:28%20GMT	http://127.0.0.1:8000/static/img/thumb_restaurant_5.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/thumb_restaurant_5.jpg	(from http://127.0.0.1:8000/)
